Route,Start Stop,End Stop,Trip Time,Notes,Up/Down,Start_Lat,Start_Lon,End_Lat,End_Lon,Distance_km,Fare_Rs
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,8.05AM,Ladies special mentioned,Up,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,1.35PM,Ladies special mentioned,Down,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,1.20PM,Ladies special mentioned,Up,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,12.55PM,Ladies special mentioned,Down,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,12.45PM,Ladies special mentioned,Up,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,12.30PM,Ladies special mentioned,Down,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,12.10PM,Ladies special mentioned,Up,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,11.50AM,Ladies special mentioned,Down,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,11.30AM,Ladies special mentioned,Up,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,11.15AM,Ladies special mentioned,Down,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,11.00AM,Ladies special mentioned,Up,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,10.50AM,Ladies special mentioned,Down,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,10.40AM,Ladies special mentioned,Up,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,10.25AM,Ladies special mentioned,Down,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,10.10AM,Ladies special mentioned,Up,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
ROUTE,JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR,10.00AM,Ladies special mentioned,Down,18.486279,73.932481,18.580937,73.896308,11.19508122976593,20
